prej_1,prej_2,prej_3,prej_4,prej_5,prej_6,prej_7,prej_8,prej_9,prej_10,prej_11,prej_12,prej_13,prej_14,prej_15,prej_16,prej_17,prej_18,prej_19,prej_20,prej_21,prej_22,prej_23,prej_24,prej_25,prej_26,prej_27,prej_28,prej_29,prej_30,prej_31,prej_32,prej_33,prej_34,prej_35,prej_36,prej_37,prej_38,prej_39,prej_40,prej_41,prej_42,prej_43,prej_44,prej_45,prej_46,prej_47,prej_48,prej_49,prej_50,prej_51,prej_52,prej_53,prej_54,prej_55,prej_56,prej_57,prej_58,prej_59,prej_60,prej_61,prej_62,prej_63,prej_64,prej_65,prej_66,prej_67,prej_68,prej_69,prej_70,prej_71,prej_72,prej_73,prej_74,prej_75,prej_76,prej_77,prej_78,prej_79,prej_80,prej_81,prej_82,prej_83,prej_84,prej_85,prej_86,prej_87,prej_88,prej_89,prej_90,prej_91,prej_92,prej_93,prej_94,prej_95,prej_96,prej_97,prej_98,prej_99,prej_100,prej_101,prej_102,prej_103,prej_104,prej_105,prej_106,prej_107,prej_108,prej_109,prej_110,prej_111,prej_112,prej_113,prej_114,prej_115,prej_116,prej_117,prej_118,prej_119,prej_120,accept_1,accept_2,accept_3,accept_4,accept_5,accept_6,accept_7,accept_8,accept_9,accept_10,accept_11,accept_12,accept_13,accept_14,accept_15,accept_16,accept_17,accept_18,accept_19,accept_20,accept_21,accept_22,accept_23,accept_24,accept_25,accept_26,accept_27,accept_28,accept_29,accept_30,accept_31,accept_32,accept_33,accept_34,accept_35,accept_36,accept_37,accept_38,accept_39,accept_40,accept_41,accept_42,accept_43,accept_44,accept_45,accept_46,accept_47,accept_48,accept_49,accept_50,accept_51,accept_52,accept_53,accept_54,accept_55,accept_56,accept_57,accept_58,accept_59,accept_60,accept_61,accept_62,accept_63,accept_64,accept_65,accept_66,accept_67,accept_68,accept_69,accept_70,accept_71,accept_72,accept_73,accept_74,accept_75,accept_76,accept_77,accept_78,accept_79,accept_80,accept_81,accept_82,accept_83,accept_84,accept_85,accept_86,accept_87,accept_88,accept_89,accept_90,accept_91,accept_92,accept_93,accept_94,accept_95,accept_96,accept_97,accept_98,accept_99,accept_100,accept_101,accept_102,accept_103,accept_104,accept_105,accept_106,accept_107,accept_108,accept_109,accept_110,accept_111,accept_112,accept_113,accept_114,accept_115,accept_116,accept_117,accept_118,accept_119,accept_120
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,,100,100,,19.7,,,,,,,,,99.7,,,,98.6,,,,,,,,,100,,,,,100,100,,,,,0,,,100,,28.6,100,,86.6,,25.9,,,,,,,,100,,,,65.6,,100,,,,80.4,0,,,,8.2,,,,100,8,,,,,,,,,,,,,,0,,,0,,,99.7,100,,,,,,,,,,,,,,99.7,,58.3,,72.8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.4,,,,,,,64.2,,,,,,,,,,,,64.1,,,6.9,67.6,,,,,,,,,,,,,50.7,,,61,,36.9,,71.7,,,,,61,36.2,,,,,71.9,,,,,,46.4,,,55.5,,,,38.1,,,84.6,,50.6,40.1,,,,,,,,49.7,,67.5,57.5,56.1,,,,,,,5.3,,,2.1,,,,,8.1,,50.6,,,68.9,77.8,,,,,,10.3,,2.3,,,,,
60.3,,,37.5,,,,,,38,,,,,,52.5,,41.5,,54.6,,,,,,,14.5,,70,,,,,,49.4,92.1,,,39.2,,,32.7,,,,,57,,,64.4,,,,,,49.3,,,54.9,,,,,,30.1,,41.5,49.9,,,,,,,62.4,,,,,,67.6,,,,,,43,57.9,,,,37.3,,,,,,,,,,,,66.3,,67,,,53.1,,,,,,,38.6,54.9,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,,,80,,,,,,,,,,0.1,,,,,,,86.5,79.4,,85.1,,,85.5,,85.4,,,,29.9,,,83.2,71.4,79.9,,,,,86.5,,,,82.7,,,,,,83.9,79.3,,,,,,,2.5,,,87.9,24.2,,83.9,80.6,,,81.4,,,,,,86.9,,,,,,,,,,,,,,,,84.1,,,79.4,82,,,81.1,56.3,,52.3,,,,,,,86.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,,,,14.6,,68.9,,,26.3,32.8,,,,,,,,,98,,28,,,34.2,24.4,38.3,,,,,,,,,25.8,,,26.2,,,,,,28.2,,,19.7,,,,21,,26.6,,,,,,,,,,,,17.2,,,,29.9,23.2,,,,,,28,,,38.9,,,,90.3,,91.5,,31.3,,,,,,,,,32.8,21.5,,,,,,,,20,,,,28.3,15.5,15.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,,3.5,,,78.3,2.4,,,60.7,,,16.5,3,,,,,,,,,,,,7.3,,,,,5.8,8.6,,,,,,,2.7,,2,,2.3,,,,,,,,,,,5.4,,,,,2.7,,3,,3.8,,,89.6,,,17.6,78,,8.3,13.4,,,,20.1,,,3.2,,,29.4,3.2,,85.8,,,,,,,2.3,,,,,,,,,2.4,,,,,,,,80.3,,,,,,
,,,,95.1,81.7,,,,,79.7,,,,,,,,87.2,,,83.7,,,,,,,,85.2,,,85.6,,82.4,99,,,,,,,,,93.1,81.4,,,,,,,,86.2,,83.5,,,,,,,83.5,86.3,82.8,,,,83.1,,,,68.5,,,,,85.5,,85.5,,,,,86.6,,,,,2.5,,59.7,,85.9,,1,,50.3,,,84.2,,,55.9,,83.7,,,,,61.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.1,,54.8,,,,,,,,,,,,,,,,56.1,,,,,,,,58.9,,,42.7,,,,,,,,,,62.5,,37.9,,59.3,48.3,,,,45.8,,49.7,41.8,,,49.3,49.9,51.3,,,,,51.5,,34.9,,,,39.4,60,51.3,,58.6,,44.4,,,,,,,51.1,,51.1,,,,,,,,,,,,,,,,42,40.1,,,,66.5,,,,,,,,,45.9,,50.4,72.1,,,,
,,53,,,,,8.3,,,,,,86.6,,10.1,,,,,84.1,79.9,,,,,4.9,,,,,,,,,,,51.3,,,,,,,,,,2.5,,,,,81,,,50.8,,,,,,,,,,,,,,,80.6,50,,,,,87.3,43.4,,81.3,57.9,,15.2,12.5,,,,,,4.5,4.6,,7.3,17,,,,,,,,,88,,,72.7,,,80.3,90.6,52.1,,,81.1,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,52.3,52.8,,,,,,50.8,,,,,,,,,,,,,,,,50.7,,,50.6,,49.6,,,,50.4,,51.5,,,,50.1,,51.3,,,50.1,49.2,,,51.1,,,,50.7,,,,,,,49.6,50.6,,52.7,,,,,,49.3,,,,,,,50.3,50,,,,50.4,,54.1,51.5,,,,,,,,,,51.5,,,,,,,51.7,,,,,50.8,,,,50.4,52.4,,,,,,,53.4,50.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
